id,name,description,1:enumVals,1:minValue,1:maxValue,1:increment,1:empty/reserved,1:description,2:enumVals,2:minValue,2:maxValue,2:increment,2:empty/reserved,2:description,3:enumVals,3:minValue,3:maxValue,3:increment,3:empty/reserved,3:description,4:enumVals,4:minValue,4:maxValue,4:increment,4:empty/reserved,4:description,5:enumVals,5:minValue,5:maxValue,5:increment,5:empty/reserved,5:description,6:enumVals,6:minValue,6:maxValue,6:increment,6:empty/reserved,6:description,7:enumVals,7:minValue,7:maxValue,7:increment,7:empty/reserved,7:description
2600,MAV_CMD_CONTROL_HIGH_LATENCY,Request to start/stop transmitting over the high latency telemetry,,0,1,1,no,"Control transmission over high latency telemetry (0: stop, 1: start)",,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
2800,MAV_CMD_PANORAMA_CREATE,Create a panorama at the current position,,,,,no,Viewing angle horizontal of the panorama (+- 0.5 the total angle),,,,,no,Viewing angle vertical of panorama.,,,,,no,Speed of the horizontal rotation.,,,,,no,Speed of the vertical rotation.,,,,,yes,,,,,,yes,,,,,,yes,
3000,MAV_CMD_DO_VTOL_TRANSITION,Request VTOL transition,0|1|2|3|4,,,,no,"The target VTOL state. For normal transitions, only MAV_VTOL_STATE_MC and MAV_VTOL_STATE_FW can be used.",,,,,no,"Force immediate transition to the specified MAV_VTOL_STATE. 1: Force immediate, 0: normal transition. Can be used, for example, to trigger an emergency ""Quadchute"". Caution: Can be dangerous/damage vehicle, depending on autopilot implementation of this command.",,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
3001,MAV_CMD_ARM_AUTHORIZATION_REQUEST,"Request authorization to arm the vehicle to a external entity, the arm authorizer is responsible to request all data that is needs from the vehicle before authorize or deny the request. If approved the progress of command_ack message should be set with period of time that this authorization is valid in seconds or in case it was denied it should be set with one of the reasons in ARM_AUTH_DENIED_REASON.
        ",,0,255,1,no,"Vehicle system id, this way ground station can request arm authorization on behalf of any vehicle",,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
4000,MAV_CMD_SET_GUIDED_SUBMODE_STANDARD,"This command sets the submode to standard guided when vehicle is in guided mode. The vehicle holds position and altitude and the user can input the desired velocities along all three axes.
                  ",,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
4001,MAV_CMD_SET_GUIDED_SUBMODE_CIRCLE,"This command sets submode circle when vehicle is in guided mode. Vehicle flies along a circle facing the center of the circle. The user can input the velocity along the circle and change the radius. If no input is given the vehicle will hold position.
                  ",,,,,no,Radius of desired circle in CIRCLE_MODE,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,Target latitude of center of circle in CIRCLE_MODE,,,,,no,Target longitude of center of circle in CIRCLE_MODE,,,,,yes,
4501,MAV_CMD_CONDITION_GATE,Delay mission state machine until gate has been reached.,,0,,1,no,Geometry: 0: orthogonal to path between previous and next waypoint.,,0,1,1,no,Altitude: 0: ignore altitude,,,,,yes,Empty,,,,,yes,Empty,,,,,no,Latitude,,,,,no,Longitude,,,,,no,Altitude
5000,MAV_CMD_NAV_FENCE_RETURN_POINT,Fence return point (there can only be one such point in a geofence definition). If rally points are supported they should be used instead.,,,,,yes,Reserved,,,,,yes,Reserved,,,,,yes,Reserved,,,,,yes,Reserved,,,,,no,Latitude,,,,,no,Longitude,,,,,no,Altitude
5001,MAV_CMD_NAV_FENCE_POLYGON_VERTEX_INCLUSION,"Fence vertex for an inclusion polygon (the polygon must not be self-intersecting). The vehicle must stay within this area. Minimum of 3 vertices required.
        ",,3,,1,no,Polygon vertex count,,0,,1,no,"Vehicle must be inside ALL inclusion zones in a single group, vehicle must be inside at least one group, must be the same for all points in each polygon",,,,,yes,Reserved,,,,,yes,Reserved,,,,,no,Latitude,,,,,no,Longitude,,,,,yes,Reserved
5002,MAV_CMD_NAV_FENCE_POLYGON_VERTEX_EXCLUSION,"Fence vertex for an exclusion polygon (the polygon must not be self-intersecting). The vehicle must stay outside this area. Minimum of 3 vertices required.
        ",,3,,1,no,Polygon vertex count,,,,,yes,Reserved,,,,,yes,Reserved,,,,,yes,Reserved,,,,,no,Latitude,,,,,no,Longitude,,,,,yes,Reserved
5003,MAV_CMD_NAV_FENCE_CIRCLE_INCLUSION,"Circular fence area. The vehicle must stay inside this area.
        ",,,,,no,Radius.,,0,,1,no,"Vehicle must be inside ALL inclusion zones in a single group, vehicle must be inside at least one group",,,,,yes,Reserved,,,,,yes,Reserved,,,,,no,Latitude,,,,,no,Longitude,,,,,yes,Reserved
5004,MAV_CMD_NAV_FENCE_CIRCLE_EXCLUSION,"Circular fence area. The vehicle must stay outside this area.
        ",,,,,no,Radius.,,,,,yes,Reserved,,,,,yes,Reserved,,,,,yes,Reserved,,,,,no,Latitude,,,,,no,Longitude,,,,,yes,Reserved
5100,MAV_CMD_NAV_RALLY_POINT,"Rally point. You can have multiple rally points defined.
        ",,,,,yes,Reserved,,,,,yes,Reserved,,,,,yes,Reserved,,,,,yes,Reserved,,,,,no,Latitude,,,,,no,Longitude,,,,,no,Altitude
5200,MAV_CMD_UAVCAN_GET_NODE_INFO,"Commands the vehicle to respond with a sequence of messages UAVCAN_NODE_INFO, one message per every UAVCAN node that is online. Note that some of the response messages can be lost, which the receiver can detect easily by checking whether every received UAVCAN_NODE_STATUS has a matching message UAVCAN_NODE_INFO received earlier; if not, this command should be sent again in order to request re-transmission of the node information messages.",,,,,yes,Reserved (set to 0),,,,,yes,Reserved (set to 0),,,,,yes,Reserved (set to 0),,,,,yes,Reserved (set to 0),,,,,yes,Reserved (set to 0),,,,,yes,Reserved (set to 0),,,,,yes,Reserved (set to 0)
10001,MAV_CMD_DO_ADSB_OUT_IDENT,"Trigger the start of an ADSB-out IDENT. This should only be used when requested to do so by an Air Traffic Controller in controlled airspace. This starts the IDENT which is then typically held for 18 seconds by the hardware per the Mode A, C, and S transponder spec.",,,,,yes,Reserved (set to 0),,,,,yes,Reserved (set to 0),,,,,yes,Reserved (set to 0),,,,,yes,Reserved (set to 0),,,,,yes,Reserved (set to 0),,,,,yes,Reserved (set to 0),,,,,yes,Reserved (set to 0)
30001,MAV_CMD_PAYLOAD_PREPARE_DEPLOY,Deploy payload on a Lat / Lon / Alt position. This includes the navigation to reach the required release position and velocity.,,0,2,1,no,"Operation mode. 0: prepare single payload deploy (overwriting previous requests), but do not execute it. 1: execute payload deploy immediately (rejecting further deploy commands during execution, but allowing abort). 2: add payload deploy to existing deployment list.",,-1,360,,no,Desired approach vector in compass heading. A negative value indicates the system can define the approach vector at will.,,-1,,,no,Desired ground speed at release time. This can be overridden by the airframe in case it needs to meet minimum airspeed. A negative value indicates the system can define the ground speed at will.,,-1,,,no,Minimum altitude clearance to the release position. A negative value indicates the system can define the clearance at will.,,,,,no,"Latitude. Note, if used in MISSION_ITEM (deprecated) the units are degrees (unscaled)",,,,,no,"Longitude. Note, if used in MISSION_ITEM (deprecated) the units are degrees (unscaled)",,,,,no,Altitude (MSL)
30002,MAV_CMD_PAYLOAD_CONTROL_DEPLOY,Control the payload deployment.,,0,101,1,no,"Operation mode. 0: Abort deployment, continue normal mission. 1: switch to payload deployment mode. 100: delete first payload deployment request. 101: delete all payload deployment requests.",,,,,yes,Reserved,,,,,yes,Reserved,,,,,yes,Reserved,,,,,yes,Reserved,,,,,yes,Reserved,,,,,yes,Reserved
42006,MAV_CMD_FIXED_MAG_CAL_YAW,"Magnetometer calibration based on provided known yaw. This allows for fast calibration using WMM field tables in the vehicle, given only the known yaw of the vehicle. If Latitude and longitude are both zero then use the current vehicle location.",,,,,no,Yaw of vehicle in earth frame.,,,,,no,"CompassMask, 0 for all.",,,,,no,Latitude.,,,,,no,Longitude.,,,,,yes,Empty.,,,,,yes,Empty.,,,,,yes,Empty.
42600,MAV_CMD_DO_WINCH,Command to operate winch.,,1,,1,no,Winch instance number.,0|1|2|3|4|5|6|7|8,,,,no,Action to perform.,,,,,no,Length of line to release (negative to wind).,,,,,no,Release rate (negative to wind).,,,,,yes,Empty.,,,,,yes,Empty.,,,,,yes,Empty.
31000,MAV_CMD_WAYPOINT_USER_1,User defined waypoint item. Ground Station will show the Vehicle as flying through this item.,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,Latitude unscaled,,,,,no,Longitude unscaled,,,,,no,Altitude (MSL)
31001,MAV_CMD_WAYPOINT_USER_2,User defined waypoint item. Ground Station will show the Vehicle as flying through this item.,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,Latitude unscaled,,,,,no,Longitude unscaled,,,,,no,Altitude (MSL)
31002,MAV_CMD_WAYPOINT_USER_3,User defined waypoint item. Ground Station will show the Vehicle as flying through this item.,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,Latitude unscaled,,,,,no,Longitude unscaled,,,,,no,Altitude (MSL)
31003,MAV_CMD_WAYPOINT_USER_4,User defined waypoint item. Ground Station will show the Vehicle as flying through this item.,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,Latitude unscaled,,,,,no,Longitude unscaled,,,,,no,Altitude (MSL)
31004,MAV_CMD_WAYPOINT_USER_5,User defined waypoint item. Ground Station will show the Vehicle as flying through this item.,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,Latitude unscaled,,,,,no,Longitude unscaled,,,,,no,Altitude (MSL)
31005,MAV_CMD_SPATIAL_USER_1,User defined spatial item. Ground Station will not show the Vehicle as flying through this item. Example: ROI item.,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,Latitude unscaled,,,,,no,Longitude unscaled,,,,,no,Altitude (MSL)
31006,MAV_CMD_SPATIAL_USER_2,User defined spatial item. Ground Station will not show the Vehicle as flying through this item. Example: ROI item.,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,Latitude unscaled,,,,,no,Longitude unscaled,,,,,no,Altitude (MSL)
31007,MAV_CMD_SPATIAL_USER_3,User defined spatial item. Ground Station will not show the Vehicle as flying through this item. Example: ROI item.,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,Latitude unscaled,,,,,no,Longitude unscaled,,,,,no,Altitude (MSL)
31008,MAV_CMD_SPATIAL_USER_4,User defined spatial item. Ground Station will not show the Vehicle as flying through this item. Example: ROI item.,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,Latitude unscaled,,,,,no,Longitude unscaled,,,,,no,Altitude (MSL)
31009,MAV_CMD_SPATIAL_USER_5,User defined spatial item. Ground Station will not show the Vehicle as flying through this item. Example: ROI item.,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,Latitude unscaled,,,,,no,Longitude unscaled,,,,,no,Altitude (MSL)
31010,MAV_CMD_USER_1,User defined command. Ground Station will not show the Vehicle as flying through this item. Example: MAV_CMD_DO_SET_PARAMETER item.,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined
31011,MAV_CMD_USER_2,User defined command. Ground Station will not show the Vehicle as flying through this item. Example: MAV_CMD_DO_SET_PARAMETER item.,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined
31012,MAV_CMD_USER_3,User defined command. Ground Station will not show the Vehicle as flying through this item. Example: MAV_CMD_DO_SET_PARAMETER item.,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined
31013,MAV_CMD_USER_4,User defined command. Ground Station will not show the Vehicle as flying through this item. Example: MAV_CMD_DO_SET_PARAMETER item.,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined
31014,MAV_CMD_USER_5,User defined command. Ground Station will not show the Vehicle as flying through this item. Example: MAV_CMD_DO_SET_PARAMETER item.,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined,,,,,no,User defined
32000,MAV_CMD_CAN_FORWARD,Request forwarding of CAN packets from the given CAN bus to this component. CAN Frames are sent using CAN_FRAME and CANFD_FRAME messages,,,,,no,"Bus number (0 to disable forwarding, 1 for first bus, 2 for 2nd bus, 3 for 3rd bus).",,,,,yes,Empty.,,,,,yes,Empty.,,,,,yes,Empty.,,,,,yes,Empty.,,,,,yes,Empty.,,,,,yes,Empty.
